"County","Water Body","Site Name","Town","Range","Section","Species","Strain","Date","Number","Avg. Length","Operation","Fin Clips, Marks, Tags"
"Alcona","Lake Huron HARRISVILLE HARBOR (26N 09E 12)","HARRISVILLE HARBOR            ","26N","09E","12","Chinook salmon","Michigan","6/10/1991 12:00:00 AM","159000","3.43","Marsh & Rearing Pond Release","oxytetracycline"
"Alcona","Lake Huron HARRISVILLE HARBOR (26N 09E 12)","HARRISVILLE HARBOR            ","26N","09E","12","Chinook salmon","Michigan","6/10/1991 12:00:00 AM","100000","3.43","Marsh & Rearing Pond Release","oxytetracycline"
"Alcona","Lake Huron HARRISVILLE HARBOR (26N 09E 12)","HARRISVILLE HARBOR            ","26N","09E","12","Chinook salmon","Michigan","6/3/1992 12:00:00 AM","202000","3.27","Marsh & Rearing Pond Release","oxytetracycline"
"Alcona","Lake Huron HARRISVILLE HARBOR (26N 09E 12)","HARRISVILLE HARBOR            ","26N","09E","12","Chinook salmon","Michigan","6/12/1993 12:00:00 AM","260000","3.27","State Plant","oxytetracycline"
"Alcona","Lake Huron HARRISVILLE HARBOR (26N 09E 12)","HARRISVILLE HARBOR            ","26N","09E","12","Chinook salmon","Michigan","6/10/1994 12:00:00 AM","300000","3.03","Marsh & Rearing Pond Release","oxytetracycline"
"Alcona","Lake Huron HARRISVILLE HARBOR (26N 09E 12)","HARRISVILLE HARBOR            ","26N","09E","12","Chinook salmon","Michigan","6/3/1995 12:00:00 AM","300000","2.99","Marsh & Rearing Pond Release","oxytetracycline"
"Alcona","Lake Huron HARRISVILLE HARBOR (26N 09E 12)","HARRISVILLE HARBOR            ","26N","09E","12","Chinook salmon","Michigan","6/8/1996 12:00:00 AM","300500","3.15","State Plant","none"
"Alcona","Lake Huron HARRISVILLE HARBOR (26N 09E 12)","HARRISVILLE HARBOR            ","26N","09E","12","Chinook salmon","Michigan","6/9/1997 12:00:00 AM","250935","3.35","Marsh & Rearing Pond Release","none"
"Alcona","Lake Huron HARRISVILLE HARBOR (26N 09E 12)","HARRISVILLE HARBOR            ","26N","09E","12","Chinook salmon","Michigan","6/12/1998 12:00:00 AM","270000","3.98","Marsh & Rearing Pond Release","none"
"Alcona","Lake Huron HARRISVILLE HARBOR (26N 09E 12)","HARRISVILLE HARBOR            ","26N","09E","12","Chinook salmon","Michigan","5/10/2011 12:00:00 AM","109513","3.27","State Plant","adipose, coded wire tag"
"Alcona","Mill Creek Mill Creek (26N 09E 12)","Mill Creek","26N","09E","12","Chinook salmon","Michigan","6/4/2004 12:00:00 AM","246432","3.07","Marsh & Rearing Pond Release","oxytetracycline"
