"County","Water Body","Site Name","Town","Range","Section","Species","Strain","Date","Number","Avg. Length","Operation","Fin Clips, Marks, Tags"
"Alcona","Au Sable River BAMFIELD ROAD BRIDGE (25N 05E 14)","BAMFIELD ROAD BRIDGE          ","25N","05E","14","Coho salmon","Michigan","6/15/1979 12:00:00 AM","347534","2.56","State Plant","none"
"Alcona","Au Sable River BAMFIELD ROAD BRIDGE (25N 05E 14)","BAMFIELD ROAD BRIDGE          ","25N","05E","14","Coho salmon","Michigan","6/15/1979 12:00:00 AM","155700","2.56","State Plant","none"
"Alcona","Au Sable River BAMFIELD ROAD BRIDGE (25N 05E 14)","BAMFIELD ROAD BRIDGE          ","25N","05E","14","Coho salmon","Michigan","6/18/1979 12:00:00 AM","278982","2.52","State Plant","none"
"Alger","Anna River ANNA RIVER 3 (46N 19W 16)","ANNA RIVER 3","46N","19W","16","Coho salmon","Michigan","4/22/2003 12:00:00 AM","25095","5.16","State Plant","right ventral clip"
"Alger","Anna River ANNA RIVER 3 (46N 19W 16)","ANNA RIVER 3","46N","19W","16","Coho salmon","Michigan","4/12/2004 12:00:00 AM","24946","5.2","State Plant","right ventral clip"
"Alger","Anna River ANNA RIVER 3 (46N 19W 16)","ANNA RIVER 3","46N","19W","16","Coho salmon","Michigan","4/25/2005 12:00:00 AM","24971","5.71","State Plant","right ventral clip"
"Alger","Anna River ANNA RIVER 3 (46N 19W 16)","ANNA RIVER 3","46N","19W","16","Coho salmon","Michigan","4/11/2006 12:00:00 AM","25047","5.55","State Plant","right ventral clip"
"Alger","Anna River ANNA RIVER 3 (46N 19W 16)","ANNA RIVER 3","46N","19W","16","Coho salmon","Michigan","4/2/2007 12:00:00 AM","25070","5.87","State Plant","right ventral clip"
"Alger","Anna River MUNISING (46N 19W 02)","MUNISING                      ","46N","19W","02","Coho salmon","Michigan","5/9/1984 12:00:00 AM","25036","5.04","State Plant","adipose clip"
"Alger","Lake Superior MUNISING BAY-CITY DOCK (46N 19W 02)","MUNISING BAY-CITY DOCK        ","46N","19W","02","Coho salmon","Michigan","4/26/1983 12:00:00 AM","50004","4.88","State Plant","none"
"Alger","Lake Superior MUNISING BAY-CITY DOCK (46N 19W 02)","MUNISING BAY-CITY DOCK        ","46N","19W","02","Coho salmon","Michigan","4/30/1985 12:00:00 AM","14000","5.04","State Plant","left ventral clip"
"Alger","Lake Superior MUNISING BAY-CITY DOCK (46N 19W 02)","MUNISING BAY-CITY DOCK        ","46N","19W","02","Coho salmon","Michigan","4/30/1985 12:00:00 AM","31013","4.72","State Plant","left ventral clip"
"Alger","Lake Superior MUNISING BAY-CITY DOCK (46N 19W 02)","MUNISING BAY-CITY DOCK        ","46N","19W","02","Coho salmon","Michigan","4/15/1986 12:00:00 AM","32089","4.76","State Plant","left pectoral clip"
"Alger","Lake Superior MUNISING BAY-CITY DOCK (46N 19W 02)","MUNISING BAY-CITY DOCK        ","46N","19W","02","Coho salmon","Michigan","4/15/1986 12:00:00 AM","8000","5.12","State Plant","left pectoral clip"
"Alger","Lake Superior MUNISING BAY-CITY DOCK (46N 19W 02)","MUNISING BAY-CITY DOCK        ","46N","19W","02","Coho salmon","Michigan","4/15/1987 12:00:00 AM","39838","5.24","State Plant","none"
"Alger","Lake Superior MUNISING BAY-CITY DOCK (46N 19W 02)","MUNISING BAY-CITY DOCK        ","46N","19W","02","Coho salmon","Michigan","4/21/1988 12:00:00 AM","59149","5.31","State Plant","none"
"Alger","Lake Superior MUNISING BAY-MARINA (46N 19W 03)","MUNISING BAY-MARINA           ","46N","19W","03","Coho salmon","Michigan","5/3/1989 12:00:00 AM","50012","5.51","State Plant","none"
"Alger","Lake Superior MUNISING BAY-MARINA (46N 19W 03)","MUNISING BAY-MARINA           ","46N","19W","03","Coho salmon","Michigan","4/30/1990 12:00:00 AM","20032","4.8","State Plant","oxytetracycline"
"Alger","Lake Superior MUNISING BAY-MARINA (46N 19W 03)","MUNISING BAY-MARINA           ","46N","19W","03","Coho salmon","Michigan","4/22/1991 12:00:00 AM","14995","4.8","State Plant","oxytetracycline"
"Alger","Lake Superior MUNISING BAY-MARINA (46N 19W 03)","MUNISING BAY-MARINA           ","46N","19W","03","Coho salmon","Michigan","5/1/1992 12:00:00 AM","15023","5.59","State Plant","right ventral clip"
"Alger","Lake Superior MUNISING BAY-MARINA (46N 19W 03)","MUNISING BAY-MARINA           ","46N","19W","03","Coho salmon","Michigan","4/30/1993 12:00:00 AM","20051","5.71","State Plant","right ventral clip"
