"County","Water Body","Site Name","Town","Range","Section","Species","Strain","Date","Number","Avg. Length","Operation","Fin Clips, Marks, Tags"
"Emmet","Lake Michigan L TRAVERSE BAY-PETOSKEY (34N 05W 06)","L TRAVERSE BAY-PETOSKEY       ","34N","05W","06","Atlantic salmon","Quebec","4/23/1981 12:00:00 AM","29","24.37","State Plant","none"
"Manistee","Manistee River MANISTEE (21N 17W 11)","MANISTEE                      ","21N","17W","11","Atlantic salmon","Quebec","6/19/1981 12:00:00 AM","19529","4.21","State Plant","left ventral clip"
"Lake","Pere Marquette River UPPER BRANCH BRIDGE (18N 14W 30)","UPPER BRANCH BRIDGE           ","18N","14W","30","Atlantic salmon","Landlocked","3/9/1982 12:00:00 AM","20000","5.94","State Plant","adipose clip"
"Manistee","Little Manistee River OLD STRONACH ROAD (21N 16W 21)","OLD STRONACH ROAD             ","21N","16W","21","Atlantic salmon","Landlocked","3/9/1982 12:00:00 AM","25030","5.71","State Plant","adipose clip"
"Roscommon","Higgins Lake HIGGINS LAKE_WEST P.A.S. (24N 04W 10)","HIGGINS LAKE_WEST P.A.S.      ","24N","04W","10","Atlantic salmon","Landlocked","5/21/1982 12:00:00 AM","1629","4.49","State Plant","adipose clip"
"Alpena","Lake Huron THUNDER BAY-PART PT (30N 08E 11)","THUNDER BAY-PART PT           ","30N","08E","11","Atlantic salmon","Quebec","7/30/1982 12:00:00 AM","29694","3.43","State Plant","none"
"Alpena","Lake Huron THUNDER BAY-PART PT (30N 08E 11)","THUNDER BAY-PART PT           ","30N","08E","11","Atlantic salmon","Quebec","8/24/1982 12:00:00 AM","600","20.47","State Plant","none"
"Alpena","Lake Huron THUNDER BAY-PART PT (30N 08E 11)","THUNDER BAY-PART PT           ","30N","08E","11","Atlantic salmon","Quebec","8/24/1982 12:00:00 AM","110","20.47","State Plant","left ventral clip"
"Barry","Gull Lake Prairieville Township Park (01N 10W 36)","Prairieville Township Park","01N","10W","36","Atlantic salmon","Landlocked","4/9/1986 12:00:00 AM","9242","8.07","State Plant","adipose clip"
"Barry","Gull Lake Prairieville Township Park (01N 10W 36)","Prairieville Township Park","01N","10W","36","Atlantic salmon","Landlocked","4/14/1986 12:00:00 AM","2000","9.17","State Plant","adipose clip"
"Barry","Gull Lake Prairieville Township Park (01N 10W 36)","Prairieville Township Park","01N","10W","36","Atlantic salmon","Landlocked","4/14/1986 12:00:00 AM","2000","9.17","State Plant","right pectoral clip"
"Barry","Gull Lake Prairieville Township Park (01N 10W 36)","Prairieville Township Park","01N","10W","36","Atlantic salmon","Landlocked","4/14/1986 12:00:00 AM","4050","8.07","State Plant","adipose clip"
"Barry","Gull Lake Prairieville Township Park (01N 10W 36)","Prairieville Township Park","01N","10W","36","Atlantic salmon","Landlocked","4/15/1986 12:00:00 AM","6064","9.17","State Plant","adipose clip"
"Barry","Gull Lake Prairieville Township Park (01N 10W 36)","Prairieville Township Park","01N","10W","36","Atlantic salmon","Quebec","6/20/1986 12:00:00 AM","2000","2.68","State Plant","right ventral clip"
"Benzie","Crystal Lake YACHT CLUB (26N 16W 13)","YACHT CLUB                    ","26N","16W","13","Atlantic salmon","Landlocked","10/4/1986 12:00:00 AM","21000","5.43","State Plant","none"
"Crawford","Higgins Lake NORTH STATE PARK (25N 04W 35)","NORTH STATE PARK              ","25N","04W","35","Atlantic salmon","Landlocked","10/4/1986 12:00:00 AM","25000","5.43","State Plant","none"
"Antrim","Torch Lake BELLAIRE ROAD ACCESS (30N 08W 21)","BELLAIRE ROAD ACCESS          ","30N","08W","21","Atlantic salmon","Landlocked","10/24/1986 12:00:00 AM","14760","6.57","State Plant","none"
"Charlevoix","Lake Charlevoix WHITING PK. (33N 06W 19)","WHITING PK.                   ","33N","06W","19","Atlantic salmon","Landlocked","10/24/1986 12:00:00 AM","22201","7.05","State Plant","none"
"Cheboygan","Burt Lake SCOTTIES LANDINGS (35N 03W 08)","SCOTTIES LANDINGS             ","35N","03W","08","Atlantic salmon","Landlocked","10/28/1986 12:00:00 AM","38","24.21","State Plant","none"
"Barry","Gull Lake Prairieville Township Park (01N 10W 36)","Prairieville Township Park","01N","10W","36","Atlantic salmon","Landlocked","3/13/1987 12:00:00 AM","2462","7.05","State Plant","none"
"Barry","Gull Lake Prairieville Township Park (01N 10W 36)","Prairieville Township Park","01N","10W","36","Atlantic salmon","Landlocked","3/13/1987 12:00:00 AM","2442","7.05","State Plant","none"
"Barry","Gull Lake Prairieville Township Park (01N 10W 36)","Prairieville Township Park","01N","10W","36","Atlantic salmon","Landlocked","3/13/1987 12:00:00 AM","7173","7.68","State Plant","none"
"Barry","Gull Lake Prairieville Township Park (01N 10W 36)","Prairieville Township Park","01N","10W","36","Atlantic salmon","Landlocked","3/13/1987 12:00:00 AM","11555","7.36","State Plant","none"
"Chippewa","St. Marys River S. S. MARIE (47N 01E 05)","S. S. MARIE                   ","47N","01E","05","Atlantic salmon","Landlocked","6/2/1987 12:00:00 AM","3000","6.73","State Plant","floy (dart) tag"
"Chippewa","St. Marys River S. S. MARIE (47N 01E 05)","S. S. MARIE                   ","47N","01E","05","Atlantic salmon","Landlocked","6/30/1987 12:00:00 AM","9000","7.28","State Plant","floy (dart) tag"
"Chippewa","St. Marys River S. S. MARIE (47N 01E 05)","S. S. MARIE                   ","47N","01E","05","Atlantic salmon","Landlocked","7/19/1987 12:00:00 AM","7000","8.11","State Plant","floy (dart) tag"
"Chippewa","High Banks Lake HIGHBANKS LAKE (46N 05W 24)","HIGHBANKS LAKE                ","46N","05W","24","Atlantic salmon","Landlocked","3/16/1988 12:00:00 AM","300","1.57","Private Plant (under permit)","none"
"Barry","Gull Lake GULL LAKE (01N 10W 25)","GULL LAKE                     ","01N","10W","25","Atlantic salmon","Landlocked","3/30/1988 12:00:00 AM","1570","8.54","State Plant","right ventral clip"
"Barry","Gull Lake GULL LAKE (01N 10W 25)","GULL LAKE                     ","01N","10W","25","Atlantic salmon","Landlocked","3/30/1988 12:00:00 AM","2154","8.11","State Plant","right ventral clip"
"Barry","Gull Lake GULL LAKE (01N 10W 25)","GULL LAKE                     ","01N","10W","25","Atlantic salmon","Landlocked","4/1/1988 12:00:00 AM","2000","7.87","State Plant","right ventral clip"
"Barry","Gull Lake GULL LAKE (01N 10W 25)","GULL LAKE                     ","01N","10W","25","Atlantic salmon","Landlocked","4/1/1988 12:00:00 AM","2475","8.19","State Plant","right ventral clip"
"Barry","Gull Lake GULL LAKE (01N 10W 25)","GULL LAKE                     ","01N","10W","25","Atlantic salmon","Landlocked","4/12/1988 12:00:00 AM","1824","8.03","State Plant","right ventral clip"
"Barry","Gull Lake GULL LAKE (01N 10W 25)","GULL LAKE                     ","01N","10W","25","Atlantic salmon","Landlocked","4/12/1988 12:00:00 AM","1933","8.03","State Plant","right ventral clip"
"Chippewa","St. Marys River S. S. MARIE (47N 01E 05)","S. S. MARIE                   ","47N","01E","05","Atlantic salmon","Landlocked","6/1/1988 12:00:00 AM","12751","7.72","Private Plant (under permit)","floy (dart) tag"
"Barry","Gull Lake Prairieville Township Park (01N 10W 36)","Prairieville Township Park","01N","10W","36","Atlantic salmon","Landlocked","3/27/1989 12:00:00 AM","4866","9.21","State Plant","none"
"Barry","Gull Lake Prairieville Township Park (01N 10W 36)","Prairieville Township Park","01N","10W","36","Atlantic salmon","Landlocked","3/27/1989 12:00:00 AM","5066","9.21","State Plant","none"
"Barry","Gull Lake Prairieville Township Park (01N 10W 36)","Prairieville Township Park","01N","10W","36","Atlantic salmon","Landlocked","3/27/1989 12:00:00 AM","1174","9.21","State Plant","none"
"Barry","Gull Lake GULL LAKE (01N 10W 25)","GULL LAKE                     ","01N","10W","25","Atlantic salmon","Landlocked","4/9/1989 12:00:00 AM","144","9.41","State Plant","none"
"Barry","Gull Lake GULL LAKE (01N 10W 25)","GULL LAKE                     ","01N","10W","25","Atlantic salmon","Landlocked","4/18/1989 12:00:00 AM","2020","8.54","State Plant","right pectoral clip"
"Barry","Gull Lake GULL LAKE (01N 10W 25)","GULL LAKE                     ","01N","10W","25","Atlantic salmon","Landlocked","4/18/1989 12:00:00 AM","1842","8.82","State Plant","right pectoral clip"
"Barry","Gull Lake GULL LAKE (01N 10W 25)","GULL LAKE                     ","01N","10W","25","Atlantic salmon","Landlocked","4/19/1989 12:00:00 AM","1890","8.43","State Plant","right pectoral clip"
"Barry","Gull Lake GULL LAKE (01N 10W 25)","GULL LAKE                     ","01N","10W","25","Atlantic salmon","Landlocked","4/19/1989 12:00:00 AM","2000","9.41","State Plant","right pectoral clip"
"Barry","Gull Lake GULL LAKE (01N 10W 25)","GULL LAKE                     ","01N","10W","25","Atlantic salmon","Landlocked","4/19/1989 12:00:00 AM","1800","8.82","State Plant","right pectoral clip"
"Barry","Gull Lake GULL LAKE (01N 10W 25)","GULL LAKE                     ","01N","10W","25","Atlantic salmon","Landlocked","4/19/1989 12:00:00 AM","1800","8.82","State Plant","right pectoral clip"
"Barry","Gull Lake GULL LAKE (01N 10W 25)","GULL LAKE                     ","01N","10W","25","Atlantic salmon","Landlocked","4/20/1989 12:00:00 AM","1086","8.74","State Plant","right pectoral clip"
"Chippewa","St. Marys River S. S. MARIE (47N 01E 05)","S. S. MARIE                   ","47N","01E","05","Atlantic salmon","Landlocked","5/17/1989 12:00:00 AM","18596","6.65","Private Plant (under permit)","floy (dart) tag"
"Barry","Gull Lake Prairieville Township Park (01N 10W 36)","Prairieville Township Park","01N","10W","36","Atlantic salmon","Landlocked","2/23/1990 12:00:00 AM","100","4.8","State Plant","none"
"Barry","Gull Lake Prairieville Township Park (01N 10W 36)","Prairieville Township Park","01N","10W","36","Atlantic salmon","Landlocked","3/13/1990 12:00:00 AM","6096","9.37","State Plant","none"
"Barry","Gull Lake Prairieville Township Park (01N 10W 36)","Prairieville Township Park","01N","10W","36","Atlantic salmon","Landlocked","3/14/1990 12:00:00 AM","6952","8.98","State Plant","none"
"Barry","Gull Lake Prairieville Township Park (01N 10W 36)","Prairieville Township Park","01N","10W","36","Atlantic salmon","Landlocked","3/14/1990 12:00:00 AM","6776","9.06","State Plant","none"
"Barry","Gull Lake Prairieville Township Park (01N 10W 36)","Prairieville Township Park","01N","10W","36","Atlantic salmon","Landlocked","3/15/1990 12:00:00 AM","5179","9.33","State Plant","none"
"Chippewa","St. Marys River S. S. MARIE (47N 01E 05)","S. S. MARIE                   ","47N","01E","05","Atlantic salmon","Landlocked","3/20/1990 12:00:00 AM","16500","4.96","Private Plant (under permit)","none"
"Crawford","Higgins Lake NORTH STATE PARK (25N 04W 35)","NORTH STATE PARK              ","25N","04W","35","Atlantic salmon","Landlocked","4/16/1990 12:00:00 AM","6080","9.41","State Plant","none"
"Crawford","Higgins Lake NORTH STATE PARK (25N 04W 35)","NORTH STATE PARK              ","25N","04W","35","Atlantic salmon","Landlocked","4/17/1990 12:00:00 AM","13927","9.41","State Plant","none"
"Chippewa","St. Marys River S. S. MARIE (47N 01E 05)","S. S. MARIE                   ","47N","01E","05","Atlantic salmon","Landlocked","5/31/1990 12:00:00 AM","11224","5.47","Private Plant (under permit)","floy (dart) tag"
"Chippewa","St. Marys River S. S. MARIE (47N 01E 05)","S. S. MARIE                   ","47N","01E","05","Atlantic salmon","Landlocked","6/6/1990 12:00:00 AM","1478","5.47","Private Plant (under permit)","floy (dart) tag"
"Chippewa","St. Marys River S. S. MARIE (47N 01E 05)","S. S. MARIE                   ","47N","01E","05","Atlantic salmon","Landlocked","6/15/1990 12:00:00 AM","2500","5","Private Plant (under permit)","floy (dart) tag"
"Chippewa","St. Marys River SHERMAN PARK (47N 01W 10)","SHERMAN PARK                  ","47N","01W","10","Atlantic salmon","Landlocked","7/20/1990 12:00:00 AM","200","8.31","State Plant","floy (dart) tag"
"Chippewa","St. Marys River SHERMAN PARK (47N 01W 10)","SHERMAN PARK                  ","47N","01W","10","Atlantic salmon","Quebec","7/27/1990 12:00:00 AM","750","3.07","State Plant","none"
