"County","Water Body","Site Name","Town","Range","Section","Species","Strain","Date","Number","Avg. Length","Operation","Fin Clips, Marks, Tags"
"Alger","Grand Sable Lake GRAND SABLE LAKE (49N 14W 15)","GRAND SABLE LAKE              ","49N","14W","15","Lake trout","","5/4/1979 12:00:00 AM","440","31.97","State Plant","adipose clip"
"Delta","Ford River FORD RIVER (38N 23W 22)","FORD RIVER                    ","38N","23W","22","Lake trout","","5/7/1979 12:00:00 AM","75000","5","State Plant","left ventral clip"
"Alger","Grand Sable Lake GRAND SABLE LAKE (49N 14W 15)","GRAND SABLE LAKE              ","49N","14W","15","Lake trout","","5/8/1979 12:00:00 AM","10000","4.88","State Plant","left ventral clip"
"Benzie","Crystal Lake BEULAH (26N 15W 26)","BEULAH                        ","26N","15W","26","Lake trout","","5/8/1979 12:00:00 AM","65000","4.88","State Plant","left ventral clip"
"Barry","Gull Lake Prairieville Township Park (01N 10W 36)","Prairieville Township Park","01N","10W","36","Lake trout","","5/9/1979 12:00:00 AM","13700","4.88","State Plant","left ventral clip"
"Isabella","Littlefield Lake PUBLIC ACCESS (16N 05W 17)","PUBLIC ACCESS                 ","16N","05W","17","Lake trout","","5/9/1979 12:00:00 AM","4000","4.84","State Plant","left ventral clip"
"Kalkaska","Blue Lake BIG BLUE LAKE P.A.S. (28N 05W 22)","BIG BLUE LAKE P.A.S.          ","28N","05W","22","Lake trout","","5/9/1979 12:00:00 AM","2300","4.88","State Plant","left ventral clip"
"Antrim","Torch Lake TORCH LAKE VILLAGE (31N 09W 24)","TORCH LAKE VILLAGE            ","31N","09W","24","Lake trout","","5/10/1979 12:00:00 AM","70000","4.88","State Plant","left ventral clip"
"Oakland","Cass Lake CASS LAKE (02N 09E 03)","CASS LAKE                     ","02N","09E","03","Lake trout","","5/11/1979 12:00:00 AM","4500","4.84","State Plant","left ventral clip"
"Iron","Chicagon Lake CHICAGON LAKE (42N 34W 13)","CHICAGON LAKE                 ","42N","34W","13","Lake trout","","5/14/1979 12:00:00 AM","2300","11.61","State Plant","none"
"Gogebic","Thousand Island Lake THOUSAND ISLAND LAKE (44N 41W 11)","THOUSAND ISLAND LAKE          ","44N","41W","11","Lake trout","","5/15/1979 12:00:00 AM","1750","11.69","State Plant","none"
"Roscommon","Higgins Lake HIGGINS LAKE_WEST P.A.S. (24N 04W 10)","HIGGINS LAKE_WEST P.A.S.      ","24N","04W","10","Lake trout","","5/16/1979 12:00:00 AM","50000","4.96","State Plant","left ventral clip"
"Charlevoix","Walloon Lake GRIFFIN ROAD (33N 06W 10)","GRIFFIN ROAD                  ","33N","06W","10","Lake trout","","5/17/1979 12:00:00 AM","15000","4.96","State Plant","left ventral clip"
"Charlevoix","Walloon Lake ST. LOUIS CLUB RD. (34N 06W 21)","ST. LOUIS CLUB RD.            ","34N","06W","21","Lake trout","","5/17/1979 12:00:00 AM","15000","4.96","State Plant","left ventral clip"
"Gogebic","Beatons Lake BEATONS LK PAS (45N 40W 06)","BEATONS LK PAS","45N","40W","06","Lake trout","","5/17/1979 12:00:00 AM","8250","5","State Plant","left ventral clip"
"Gogebic","Imp Lake IMP LAKE (44N 38W 16)","IMP LAKE                      ","44N","38W","16","Lake trout","","5/17/1979 12:00:00 AM","2100","5","State Plant","left ventral clip"
"Iron","Golden Lake GOLDEN LAKE (44N 37W 36)","GOLDEN LAKE                   ","44N","37W","36","Lake trout","","5/17/1979 12:00:00 AM","6000","5","State Plant","left ventral clip"
"Marquette","Lake Superior PRESQUE ISLE HARBOR (48N 25W 02)","PRESQUE ISLE HARBOR           ","48N","25W","02","Lake trout","","5/17/1979 12:00:00 AM","50000","5","State Plant","left ventral clip"
"Marquette","Squaw Lake SQUAW LAKE (45N 30W 16)","SQUAW LAKE                    ","45N","30W","16","Lake trout","","5/17/1979 12:00:00 AM","10000","5","State Plant","left ventral clip"
"Cheboygan","Mullett Lake TOPINABEE (36N 02W 29)","TOPINABEE                     ","36N","02W","29","Lake trout","","5/18/1979 12:00:00 AM","50000","5","State Plant","left ventral clip"
"Marquette","Lake Superior MARQUETTE BAY-SPEARS COAL DOCK (48N 25W 23)","MARQUETTE BAY-SPEARS COAL DOCK","48N","25W","23","Lake trout","","5/18/1979 12:00:00 AM","50000","5","State Plant","left ventral clip"
"Charlevoix","Lake Charlevoix IRONTON (33N 07W 17)","IRONTON                       ","33N","07W","17","Lake trout","","5/21/1979 12:00:00 AM","40000","4.92","State Plant","left ventral clip"
"Marquette","","BIG BAY REEF-G1327            ","","","","Lake trout","","5/21/1979 12:00:00 AM","25000","4.92","State Plant","left ventral clip"
"Keweenaw","","MANITOU ISLAND-G1028          ","","","","Lake trout","","5/22/1979 12:00:00 AM","50000","4.92","State Plant","adipose, left ventral clips"
"Antrim","Elk Lake CHERRY ROAD PAS (29N 09W 26)","CHERRY ROAD PAS               ","29N","09W","26","Lake trout","","5/24/1979 12:00:00 AM","10000","4.61","State Plant","left ventral clip"
"Antrim","Elk Lake KEWADIN (29N 09W 11)","KEWADIN                       ","29N","09W","11","Lake trout","","5/24/1979 12:00:00 AM","10000","4.61","State Plant","left ventral clip"
"Baraga","","POINT ABBAYE REEF-G1325       ","","","","Lake trout","","5/24/1979 12:00:00 AM","25000","4.92","State Plant","adipose, left ventral clips"
"Houghton","","TRAVERSE ISLAND REEF-G1224    ","","","","Lake trout","","5/24/1979 12:00:00 AM","75000","4.92","State Plant","adipose, left ventral clips"
"Alger","Lake Superior AU TRAIN ISLAND REEF-G1632 (47N 21W 11)","AU TRAIN ISLAND REEF-G1632    ","47N","21W","11","Lake trout","","5/25/1979 12:00:00 AM","45000","4.92","State Plant","left ventral clip"
"Alger","Lake Superior MUNISING BAY-CITY DOCK (46N 19W 02)","MUNISING BAY-CITY DOCK        ","46N","19W","02","Lake trout","","5/25/1979 12:00:00 AM","25000","4.92","State Plant","left ventral clip"
"Marquette","","HURON ISLANDS-G1326           ","","","","Lake trout","","5/25/1979 12:00:00 AM","75000","4.92","State Plant","adipose, left ventral clips"
"Leelanau","North Lake Leelanau EAST LELAND TOWNSHIP PARK (31N 12W 35)","EAST LELAND TOWNSHIP PARK     ","31N","12W","35","Lake trout","","5/29/1979 12:00:00 AM","30000","5.16","State Plant","left ventral clip"
"Marquette","Lake Superior PARTRIDGE ISLAND REEF-G1529 (49N 25W 35)","PARTRIDGE ISLAND REEF-G1529   ","49N","25W","35","Lake trout","","5/29/1979 12:00:00 AM","90000","5.16","State Plant","left ventral clip"
"Alger","Lake Superior LAUGHING FISH POINT (48N 22W 26)","LAUGHING FISH POINT           ","48N","22W","26","Lake trout","","5/30/1979 12:00:00 AM","50000","5.16","State Plant","left ventral clip"
"Charlevoix","Thumb (Louise) Lake PUBLIC ACCESS SITE (32N 04W 11)","PUBLIC ACCESS SITE            ","32N","04W","11","Lake trout","","5/30/1979 12:00:00 AM","10000","5.16","State Plant","left ventral clip"
"Leelanau","Glen Lake M-22 NARROWS (28N 14W 03)","M-22 NARROWS                  ","28N","14W","03","Lake trout","","5/31/1979 12:00:00 AM","30000","4.92","State Plant","left ventral clip"
"Alger","Lake Superior GRAND MARAIS COAST GUARD STN (49N 13W 06)","GRAND MARAIS COAST GUARD STN  ","49N","13W","06","Lake trout","","6/4/1979 12:00:00 AM","50000","5.16","State Plant","left ventral clip"
"Ontonagon","","UNION BAY REEFS-G1316         ","","","","Lake trout","","6/5/1979 12:00:00 AM","25000","5.16","State Plant","left ventral clip"
"Schoolcraft","Big Spring BIG SPRING (42N 17W 25)","BIG SPRING                    ","42N","17W","25","Lake trout","","6/6/1979 12:00:00 AM","25","30.2","State Plant","none"
"Antrim","Torch Lake TORCH LAKE VILLAGE (31N 09W 24)","TORCH LAKE VILLAGE            ","31N","09W","24","Lake trout","","5/2/1980 12:00:00 AM","50000","5.35","State Plant","left pectoral clip"
"Benzie","Crystal Lake BEULAH (26N 15W 26)","BEULAH                        ","26N","15W","26","Lake trout","","5/2/1980 12:00:00 AM","50000","4.92","State Plant","left pectoral clip"
"Roscommon","Higgins Lake HIGGINS LAKE_WEST P.A.S. (24N 04W 10)","HIGGINS LAKE_WEST P.A.S.      ","24N","04W","10","Lake trout","","5/2/1980 12:00:00 AM","50000","4.92","State Plant","none"
"Antrim","Elk Lake CHERRY ROAD PAS (29N 09W 26)","CHERRY ROAD PAS               ","29N","09W","26","Lake trout","","5/6/1980 12:00:00 AM","30000","4.84","State Plant","adipose, right ventral clips"
"Charlevoix","Lake Charlevoix WHITING PK. (33N 06W 19)","WHITING PK.                   ","33N","06W","19","Lake trout","","5/8/1980 12:00:00 AM","50000","4.88","State Plant","left pectoral clip"
"Barry","Gull Lake Prairieville Township Park (01N 10W 36)","Prairieville Township Park","01N","10W","36","Lake trout","","5/9/1980 12:00:00 AM","15000","4.88","State Plant","left pectoral clip"
"Charlevoix","Thumb (Louise) Lake PUBLIC ACCESS SITE (32N 04W 11)","PUBLIC ACCESS SITE            ","32N","04W","11","Lake trout","","5/9/1980 12:00:00 AM","10000","4.88","State Plant","left pectoral clip"
"Charlevoix","Walloon Lake SI MARINA (33N 05W 09)","SI MARINA                     ","33N","05W","09","Lake trout","","5/9/1980 12:00:00 AM","40000","4.88","State Plant","none"
"Iron","Golden Lake GOLDEN LAKE (44N 37W 36)","GOLDEN LAKE                   ","44N","37W","36","Lake trout","","5/9/1980 12:00:00 AM","6000","4.8","State Plant","none"
"Isabella","Littlefield Lake PUBLIC ACCESS (16N 05W 17)","PUBLIC ACCESS                 ","16N","05W","17","Lake trout","","5/9/1980 12:00:00 AM","4000","4.88","State Plant","left pectoral clip"
"Kalkaska","Blue Lake BIG BLUE LAKE P.A.S. (28N 05W 22)","BIG BLUE LAKE P.A.S.          ","28N","05W","22","Lake trout","","5/9/1980 12:00:00 AM","2300","4.92","State Plant","left pectoral clip"
"Cheboygan","Mullett Lake TOPINABEE (36N 02W 29)","TOPINABEE                     ","36N","02W","29","Lake trout","","5/11/1980 12:00:00 AM","50000","4.92","State Plant","none"
"Gogebic","Beatons Lake BEATONS LK PAS (45N 40W 06)","BEATONS LK PAS","45N","40W","06","Lake trout","","5/13/1980 12:00:00 AM","10000","4.8","State Plant","none"
"Iron","Chicagon Lake CHICAGON LAKE (42N 34W 13)","CHICAGON LAKE                 ","42N","34W","13","Lake trout","","5/13/1980 12:00:00 AM","15000","4.8","State Plant","none"
"Leelanau","Glen Lake M-22 NARROWS (28N 14W 03)","M-22 NARROWS                  ","28N","14W","03","Lake trout","","5/13/1980 12:00:00 AM","33000","4.84","State Plant","none"
"Leelanau","North Lake Leelanau EAST LELAND TOWNSHIP PARK (31N 12W 35)","EAST LELAND TOWNSHIP PARK     ","31N","12W","35","Lake trout","","5/13/1980 12:00:00 AM","25000","4.8","State Plant","left pectoral clip"
"Alger","Lake Superior AU TRAIN ISLAND REEF-G1632 (47N 21W 11)","AU TRAIN ISLAND REEF-G1632    ","47N","21W","11","Lake trout","","5/14/1980 12:00:00 AM","41000","4.8","State Plant","left pectoral clip"
