"County","Water Body","Site Name","Town","Range","Section","Species","Strain","Date","Number","Avg. Length","Operation","Fin Clips, Marks, Tags"
"Alcona","Au Sable River - Mio to Alcona reach FR4842-Alcona Rest (26N 05E 19)","FR4842-Alcona Rest","26N","05E","19","Rainbow trout","Eagle Lake","5/4/2016 12:00:00 AM","3000","6.57","State Plant","none"
"Alcona","Au Sable River - Mio to Alcona reach FR4842-Alcona Rest (26N 05E 19)","FR4842-Alcona Rest","26N","05E","19","Rainbow trout","Eagle Lake","4/27/2017 12:00:00 AM","4200","6.97","State Plant","none"
"Alcona","Au Sable River - Mio to Alcona reach FR4842-Alcona Rest (26N 05E 19)","FR4842-Alcona Rest","26N","05E","19","Rainbow trout","Eagle Lake","5/2/2018 12:00:00 AM","3200","6.89","State Plant","none"
"Alcona","Au Sable River - Mio to Alcona reach FR4842-Alcona Rest (26N 05E 19)","FR4842-Alcona Rest","26N","05E","19","Rainbow trout","Eagle Lake","4/29/2020 12:00:00 AM","3100","7.56","State Plant","none"
"Alcona","Au Sable River - Mio to Alcona reach FR4842-Alcona Rest (26N 05E 19)","FR4842-Alcona Rest","26N","05E","19","Rainbow trout","Eagle Lake","4/26/2021 12:00:00 AM","3000","8.17","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","","6/7/1979 12:00:00 AM","500","7.01","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Arlee","4/18/1991 12:00:00 AM","1810","7.05","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Eagle Lake","4/23/1996 12:00:00 AM","3999","6.89","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Eagle Lake","4/30/1997 12:00:00 AM","6000","6.57","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Eagle Lake","5/5/1998 12:00:00 AM","5050","7.01","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Eagle Lake","4/19/1999 12:00:00 AM","11600","7.83","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Eagle Lake","4/17/2000 12:00:00 AM","11000","7.13","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Eagle Lake","4/12/2002 12:00:00 AM","12000","7.17","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Eagle Lake","4/9/2003 12:00:00 AM","12000","6.46","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Eagle Lake","4/12/2004 12:00:00 AM","15000","6.22","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Eagle Lake","4/19/2005 12:00:00 AM","15894","5.87","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Eagle Lake","4/6/2006 12:00:00 AM","12100","6.65","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Eagle Lake","4/10/2007 12:00:00 AM","14700","5.91","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Eagle Lake","4/17/2008 12:00:00 AM","6500","7.36","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Eagle Lake","4/18/2008 12:00:00 AM","6500","7.4","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Eagle Lake","4/16/2009 12:00:00 AM","11760","7.17","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Eagle Lake","4/16/2009 12:00:00 AM","2940","7.17","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Eagle Lake","4/21/2010 12:00:00 AM","12400","5.98","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Eagle Lake","4/14/2011 12:00:00 AM","12500","6.07","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Eagle Lake","4/19/2012 12:00:00 AM","12000","7.2","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Eagle Lake","4/16/2013 12:00:00 AM","12200","7.13","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Eagle Lake","4/21/2014 12:00:00 AM","12400","6.89","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Eagle Lake","4/29/2015 12:00:00 AM","13200","6.5","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Eagle Lake","5/4/2016 12:00:00 AM","3000","6.57","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Eagle Lake","4/26/2017 12:00:00 AM","4200","7.2","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Eagle Lake","5/2/2018 12:00:00 AM","3200","6.89","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Eagle Lake","5/1/2019 12:00:00 AM","3300","7.28","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Eagle Lake","4/29/2020 12:00:00 AM","3100","7.56","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Eagle Lake","4/26/2021 12:00:00 AM","3000","8.17","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Harrietta","6/12/1981 12:00:00 AM","500","8.43","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Harrietta","5/25/1982 12:00:00 AM","500","7.32","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Harrietta","5/3/1983 12:00:00 AM","400","6.97","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Harrison Lake","5/23/1994 12:00:00 AM","2000","5.47","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Harrison Lake","5/25/1995 12:00:00 AM","4000","5.67","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Shasta","5/2/1985 12:00:00 AM","750","7.13","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Shasta","4/16/1986 12:00:00 AM","1000","7.44","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Shasta","5/4/1987 12:00:00 AM","750","7.28","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Shasta","4/26/1988 12:00:00 AM","1500","7.13","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Shasta","4/17/1990 12:00:00 AM","1500","6.65","State Plant","none"
"Alcona","Au Sable River 4001 BRIDGE (26N 05E 28)","4001 BRIDGE                   ","26N","05E","28","Rainbow trout","Shasta","5/14/1992 12:00:00 AM","2250","7.05","State Plant","none"
